session	measure	chamber	roll	vote_date	reading	draft	yeas	nays	excused	act_line	disposition
2245	HB 1961	house	418540230	2026-04-23	final_reading	SD 1	40	10	1	Act 202, on 07/07/2026 (Gov. Msg. No. 1304).	batch-01
2245	HB 2023	senate	418636851	2026-05-06	final_reading	CD 1	20	5	0	Act 260, on 07/15/2026 (Gov. Msg. No. 1363).	batch-01
2245	SB 2239	house	417002242	2026-05-06	final_reading	CD 1	40	11	0	Act 067, on 05/29/2026 (Gov. Msg. No. 1167).	batch-01
2245	SB 2400	house	417475641	2026-05-06	final_reading	CD 1	40	11	0	Act 061, on 05/29/2026 (Gov. Msg. No. 1161).	batch-01
2245	SB 2694	house	418523844	2026-05-06	final_reading	CD 1	35	15	1	Act 016, on 05/19/2026 (Gov. Msg. No. 1116).	batch-01
2245	SB 2697	senate	418488639	2026-05-06	final_reading	CD 1	20	5	0	Act 073, on 06/03/2026 (Gov. Msg. No. 1173).	batch-01
