bill	status	title	ch	date	desc	roll	yea	nay	passed	cls	margin
LD1494	4	Resolve, Directing the Office of Procurement Services to Study Adapting the Procurement Process to the State Climate Action Plan	S	2025-06-09	Accept Report 'a' Ought To Pass As Amended	1587212	19	15	1	passage	0.789
LD1519	4	An Act to Create a Stewardship Program for Electronic Smoking Devices and Related Products	S	2025-06-09	Passage To Be Engrossed As Amended	1586809	19	12	1	passage	0.632
LD1519	4	An Act to Create a Stewardship Program for Electronic Smoking Devices and Related Products	H	2025-06-10	Recede And Concur	1587593	74	67	1	concurrence	0.905
LD1519	4	An Act to Create a Stewardship Program for Electronic Smoking Devices and Related Products	H	2026-04-14	Enactment	1682143	75	68	1	passage	0.907
LD1519	4	An Act to Create a Stewardship Program for Electronic Smoking Devices and Related Products	S	2026-04-14	Enactment	1682144	21	13	1	passage	0.619
LD1543	4	An Act to Establish the Maine Green Schools Network	S	2025-06-09	Accept Majority Ought To Pass As Amended Report	1587199	20	14	1	passage	0.7
LD1543	4	An Act to Establish the Maine Green Schools Network	H	2025-06-10	Acc Maj Otp As Amended Rep	1587633	76	71	1	passage	0.934
LD1566	4	An Act to Provide Compensation to Individuals with Lived Experience Serving on Certain Advisory Boards, Commissions, Councils and Similar Groups	H	2025-06-13	Acc Maj Otp As Amended Rep	1590333	75	72	1	passage	0.96
LD1566	4	An Act to Provide Compensation to Individuals with Lived Experience Serving on Certain Advisory Boards, Commissions, Councils and Similar Groups	S	2025-06-13	Accept Majority Ought To Pass As Amended Report	1590610	18	13	1	passage	0.722
LD1571	4	An Act to Modify Certification Standards for Full-time Teachers in Public Charter Schools and Standards for Reissuance of Educational Technician Certificates	S	2025-06-10	Accept Majority Ought To Pass As Amended Report	1587844	18	14	1	passage	0.778
LD1587	4	An Act to Clarify the Bureau of Labor Standards' Investigatory and Enforcement Procedures	H	2026-02-24	"Otp-am By Ca ""a"""	1642384	64	65	0	passage	0.985
LD1587	4	An Act to Clarify the Bureau of Labor Standards' Investigatory and Enforcement Procedures	S	2026-02-26	Accept Majority Ought To Pass As Amended Report	1646248	18	14	1	passage	0.778
LD1587	4	An Act to Clarify the Bureau of Labor Standards' Investigatory and Enforcement Procedures	H	2026-03-05	Recede And Concur	1654878	72	68	1	concurrence	0.944
LD163	4	An Act to Require Health Insurance Coverage for Federally Approved Nonprescription Oral Hormonal Contraceptives and Nonprescription Emergency Contraceptives	H	2025-05-13	Acc Min Otp As Amended Rep	1570088	73	69	1	passage	0.945
LD163	4	An Act to Require Health Insurance Coverage for Federally Approved Nonprescription Oral Hormonal Contraceptives and Nonprescription Emergency Contraceptives	S	2025-05-14	Accept Minority Ought To Pass As Amended Report	1571240	21	13	1	passage	0.619
LD1643	4	An Act to Establish the Maine Life Sciences Innovation Center	S	2026-03-18	Accept Majority Ought To Pass As Amended Report	1667272	22	10	1	passage	0.455
LD166	4	An Act to Prohibit the Sale of Tobacco Products in Pharmacies and Retail Establishments Containing Pharmacies	H	2025-06-05	Acc Maj Otp As Amended Rep	1585539	72	68	1	passage	0.944
LD166	4	An Act to Prohibit the Sale of Tobacco Products in Pharmacies and Retail Establishments Containing Pharmacies	S	2025-06-09	Accept Majority Ought To Pass As Amended Report	1586813	19	12	1	passage	0.632
LD166	4	An Act to Prohibit the Sale of Tobacco Products in Pharmacies and Retail Establishments Containing Pharmacies	H	2025-06-25	Recede And Concur	1594847	71	68	1	concurrence	0.958
LD166	4	An Act to Prohibit the Sale of Tobacco Products in Pharmacies and Retail Establishments Containing Pharmacies	S	2025-06-25	Enactment	1595041	17	16	1	passage	0.941
LD1664	4	An Act to Amend the Dirigo Business Incentives Program	S	2025-06-03	Accept Majority Ought To Pass As Amended Report	1584148	23	9	1	passage	0.391
LD1668	4	An Act Regarding the Voting Requirement to Extend the Date for Adjournment of the Legislature	S	2025-06-02	Accept Majority Ought To Pass As Amended Report	1583287	20	14	1	passage	0.7
LD1668	4	An Act Regarding the Voting Requirement to Extend the Date for Adjournment of the Legislature	H	2025-06-04	Acc Maj Otp As Amended Rep	1584934	72	71	1	passage	0.986
LD1668	4	An Act Regarding the Voting Requirement to Extend the Date for Adjournment of the Legislature	H	2025-06-09	Passage To Be Engrossed	1586899	73	72	1	passage	0.986
LD1668	4	An Act Regarding the Voting Requirement to Extend the Date for Adjournment of the Legislature	H	2025-06-10	Enactment	1588009	73	71	1	passage	0.973
LD1684	4	An Act to Implement Additional Criteria and Processes for the Supervised Community Confinement Program	S	2025-06-12	Accept Majority Ought To Pass As Amended Report	1590196	18	17	1	passage	0.944
LD1697	4	An Act to Increase Penalties to Deter Violations of the Laws Regarding Improper Pesticide Use	H	2025-06-05	Acc Maj Otp As Amended Rep	1585529	74	67	1	passage	0.905
LD1705	4	An Act Regarding Adult Education Funding and Oversight	H	2025-06-11	Final Enactment	1589331	105	34	1	passage	0.324
LD1710	4	An Act Regarding the Authority to Transport Prisoners Confined in Jail and the Use of Physical Force with Respect to Prisoners and Persons Who Have Been Arrested	S	2025-06-16	Accept Minority Ought To Pass As Amended Report	1591191	19	16	1	passage	0.842
LD1710	4	An Act Regarding the Authority to Transport Prisoners Confined in Jail and the Use of Physical Force with Respect to Prisoners and Persons Who Have Been Arrested	H	2025-06-16	Acc Min Otp As Amended Rep	1591190	76	72	1	passage	0.947
LD1710	4	An Act Regarding the Authority to Transport Prisoners Confined in Jail and the Use of Physical Force with Respect to Prisoners and Persons Who Have Been Arrested	H	2025-06-17	Enactment	1591922	110	38	1	passage	0.345
LD1723	4	An Act to Amend the Laws Governing Manufactured Housing Communities to Prevent Excessive Rent and Fees Increases	H	2025-06-13	Acc Maj Otp As Amended Rep	1590351	78	67	1	passage	0.859
LD1723	4	An Act to Amend the Laws Governing Manufactured Housing Communities to Prevent Excessive Rent and Fees Increases	S	2025-06-13	Accept Majority Ought To Pass As Amended Report	1590627	20	12	1	passage	0.6
LD1726	4	An Act to Enhance the Coordination and Effectiveness of Integrated Distribution Grid Planning	H	2025-06-04	Acc Maj Otp As Amended Rep	1584792	75	69	1	passage	0.92
LD1726	4	An Act to Enhance the Coordination and Effectiveness of Integrated Distribution Grid Planning	S	2025-06-05	Accept Majority Ought To Pass As Amended Report	1585758	19	13	1	passage	0.684
LD1730	4	An Act to Make Small Plug-in Solar Generation Devices Accessible for All Maine Residents to Address the Energy Affordability Crisis	S	2026-03-17	Accept Majority Ought To Pass As Amended Report	1664130	25	8	1	passage	0.32
LD1730	4	An Act to Make Small Plug-in Solar Generation Devices Accessible for All Maine Residents to Address the Energy Affordability Crisis	H	2026-03-24	Enactment	1668608	79	65	1	passage	0.823
LD1731	5	An Act to Increase the Influence of the Maine State Ferry Advisory Board on the Funding and Operations of the Maine State Ferry Service	S	2025-06-12	Enactment	1590166	16	18	0	passage	0.889
LD1731	5	An Act to Increase the Influence of the Maine State Ferry Advisory Board on the Funding and Operations of the Maine State Ferry Service	S	2025-06-16	Enactment	1592655	19	14	1	passage	0.737
LD1731	5	An Act to Increase the Influence of the Maine State Ferry Advisory Board on the Funding and Operations of the Maine State Ferry Service	S	2025-06-25	Veto Override (2/3)	1595273	16	16	0	veto_override	1.0
LD1736	4	An Act to Increase the Supply of Child Care Services Through the Use of Contracts	H	2025-06-03	Acc Maj Ought To Pass Rep	1584019	77	68	1	passage	0.883
LD1738	4	An Act to Establish the Biohazard Waste Disposal Grant Program to Support Public Health Efforts in the State	H	2025-06-05	Acc Maj Otp As Amended Rep	1585481	75	66	1	passage	0.88
LD1738	4	An Act to Establish the Biohazard Waste Disposal Grant Program to Support Public Health Efforts in the State	H	2025-06-25	Recede And Concur	1594850	76	63	1	concurrence	0.829
LD1748	4	An Act to Enhance Businesses' Understanding of Labor Standards and Grow Maine's Energy Economy Through Project Development Information Resources	H	2025-06-13	Acc Maj Otp As Amended Rep	1590599	75	69	1	passage	0.92
LD1748	4	An Act to Enhance Businesses' Understanding of Labor Standards and Grow Maine's Energy Economy Through Project Development Information Resources	S	2025-06-16	Accept Majority Ought To Pass As Amended Report	1592670	19	14	1	passage	0.737
LD1749	4	Resolve, Directing the Department of Corrections to Study Achieving Gender Equality	S	2025-06-17	Accept Majority Ought To Pass Report	1592064	20	15	1	passage	0.75
LD1749	4	Resolve, Directing the Department of Corrections to Study Achieving Gender Equality	H	2025-06-17	Acc Maj Ought To Pass Rep	1592063	77	70	1	passage	0.909
LD1765	4	An Act to Ensure Affordability and Stability in Residential Housing and in Manufactured Housing Communities	H	2025-06-13	Acc Maj Otp As Amended Rep	1590388	75	69	1	passage	0.92
LD1768	4	An Act to Protect Residents of Mobile Home Parks by Amending the Real Estate Transfer Tax	S	2025-06-02	Accept Majority Ought To Pass As Amended Report	1583357	23	11	1	passage	0.478
LD1768	4	An Act to Protect Residents of Mobile Home Parks by Amending the Real Estate Transfer Tax	H	2025-06-03	Acc Maj Otp As Amended Rep	1584131	79	69	1	passage	0.873
LD1771	4	An Act to Strengthen Oversight of Kennels by Changing the Licensing Authority from Municipalities to the Department of Agriculture, Conservation and Forestry	H	2025-06-04	Acc Maj Otp As Amended Rep	1584800	71	69	1	passage	0.972
LD1784	4	An Act to Require Police Departments to Publish and Make Accessible Their Policies and Procedures and Require Training of Officers	H	2025-06-13	Acc Maj Otp As Amended Rep	1590866	73	69	1	passage	0.945
LD1784	4	An Act to Require Police Departments to Publish and Make Accessible Their Policies and Procedures and Require Training of Officers	S	2025-06-16	Accept Majority Ought To Pass As Amended Report	1591150	17	16	1	passage	0.941
LD1787	4	An Act to Increase Seed Money Contribution Limits for Gubernatorial Candidates Under the Maine Clean Election Act	S	2025-06-05	Accept Majority Ought To Pass As Amended Report	1585699	20	12	1	passage	0.6
LD1819	4	An Act Regarding the Brunswick Naval Air Station Job Increment Financing Fund	H	2025-06-05	Acc Maj Otp As Amended Rep	1585504	74	67	1	passage	0.905
LD1840	4	An Act to Amend the Maine Medical Use of Cannabis Act	S	2025-06-13	Accept Ought To Pass As Amended Report	1590853	24	8	1	passage	0.333
LD1849	4	An Act to Establish a Minimum Age at Which Conduct Constitutes a Juvenile Crime and to Confer Jurisdiction to the Juvenile Courts Over Any Criminal Offense Under Maine Law Committed by a Juvenile	S	2025-06-17	Accept Majority Ought To Pass As Amended Report	1591992	20	15	1	passage	0.75
LD1849	4	An Act to Establish a Minimum Age at Which Conduct Constitutes a Juvenile Crime and to Confer Jurisdiction to the Juvenile Courts Over Any Criminal Offense Under Maine Law Committed by a Juvenile	H	2025-06-17	Acc Maj Otp As Amended Rep	1591991	76	71	1	passage	0.934
LD186	4	An Act to Clarify the Public Utilities Commission's Authority to Establish Time-of-use Pricing for Standard-offer Service	H	2025-05-29	Acc Maj Otp As Amended Rep	1581024	77	69	1	passage	0.896
LD186	4	An Act to Clarify the Public Utilities Commission's Authority to Establish Time-of-use Pricing for Standard-offer Service	S	2025-06-02	Accept Majority Ought To Pass As Amended Report	1583071	20	14	1	passage	0.7
LD186	4	An Act to Clarify the Public Utilities Commission's Authority to Establish Time-of-use Pricing for Standard-offer Service	H	2025-06-02	Enactment	1583070	74	66	1	passage	0.892
LD1868	4	An Act to Advance a Clean Energy Economy by Updating Renewable and Clean Resource Procurement Laws	H	2025-06-13	Acc Maj Otp As Amended Rep	1590589	74	68	1	passage	0.919
LD1868	4	An Act to Advance a Clean Energy Economy by Updating Renewable and Clean Resource Procurement Laws	S	2025-06-13	Accept Majority Ought To Pass As Amended Report	1590588	19	16	1	passage	0.842
LD1868	4	An Act to Advance a Clean Energy Economy by Updating Renewable and Clean Resource Procurement Laws	H	2025-06-16	Enactment	1590978	77	68	1	passage	0.883
LD1868	4	An Act to Advance a Clean Energy Economy by Updating Renewable and Clean Resource Procurement Laws	S	2025-06-17	Enactment	1591936	19	16	1	passage	0.842
LD1868	4	An Act to Advance a Clean Energy Economy by Updating Renewable and Clean Resource Procurement Laws	S	2025-06-17	Enactment	1591935	20	15	1	passage	0.75
LD1870	4	Resolve, to Assess the Total Cost to the State of Greenhouse Gas Emissions	S	2026-03-30	Accept Majority Ought To Pass As Amended Report	1672597	19	13	1	passage	0.684
LD1870	4	Resolve, to Assess the Total Cost to the State of Greenhouse Gas Emissions	H	2026-03-31	Acc Maj Otp As Amended Rep	1673584	75	72	1	passage	0.96
LD1871	4	An Act to Permit Sealing Criminal History Record Information of Victims of Sex Trafficking or Sexual Exploitation	S	2025-06-16	Accept Majority Ought To Pass As Amended Report	1591254	22	12	1	passage	0.545
LD1871	4	An Act to Permit Sealing Criminal History Record Information of Victims of Sex Trafficking or Sexual Exploitation	H	2025-06-17	Enactment	1591534	89	58	1	passage	0.652
LD1886	4	An Act to Include Serious Bodily Injury in the Law Governing Motor Vehicle Violations Resulting in Death	H	2025-06-05	Acc Maj Otp As Amended Rep	1585729	108	32	1	passage	0.296
LD1897	4	An Act Regarding Outdoor Cultivation in the Medical Use Cannabis and Adult Use Cannabis Industries	S	2025-06-16	Accept Majority Ought To Pass As Amended Report	1591234	21	14	1	passage	0.667
LD1897	4	An Act Regarding Outdoor Cultivation in the Medical Use Cannabis and Adult Use Cannabis Industries	H	2025-06-16	Acc Min Otp As Amended Rep	1590960	110	35	1	passage	0.318
