bill	status	title	ch	date	desc	roll	yea	nay	passed	cls	margin
LD1971	4	An Act to Protect Workers in This State by Clarifying the Relationship of State and Local Law Enforcement Agencies with Federal Immigration Authorities	S	2025-06-17	Passage To Be Engrossed As Amended	1591832	21	14	1	passage	0.667
LD1971	4	An Act to Protect Workers in This State by Clarifying the Relationship of State and Local Law Enforcement Agencies with Federal Immigration Authorities	H	2025-06-17	Acc Maj Otp As Amended Rep	1591635	74	73	1	passage	0.986
LD1971	4	An Act to Protect Workers in This State by Clarifying the Relationship of State and Local Law Enforcement Agencies with Federal Immigration Authorities	S	2025-06-17	Accept Majority Ought To Pass As Amended Report	1591831	21	14	1	passage	0.667
LD1971	4	An Act to Protect Workers in This State by Clarifying the Relationship of State and Local Law Enforcement Agencies with Federal Immigration Authorities	S	2025-06-18	Enactment	1592547	20	14	1	passage	0.7
LD1971	4	An Act to Protect Workers in This State by Clarifying the Relationship of State and Local Law Enforcement Agencies with Federal Immigration Authorities	H	2025-06-18	Enactment	1592017	75	73	1	passage	0.973
LD1975	4	Resolve, Directing the Maine Connectivity Authority to Develop Recommendations to Transition Functions Performed by the ConnectMaine Authority to the Maine Connectivity Authority	H	2026-02-24	"Acc Rep ""a"" Otp-am By Ca ""a"""	1642699	65	64	1	passage	0.985
LD1975	4	Resolve, Directing the Maine Connectivity Authority to Develop Recommendations to Transition Functions Performed by the ConnectMaine Authority to the Maine Connectivity Authority	S	2026-02-26	Accept Report 'a' Ought To Pass As Amended	1646559	19	13	1	passage	0.684
LD1979	4	Resolve, Directing the Department of Corrections to Convene a Working Group to Examine the Establishment of a Program to Award Earned Time Credit for Educational Achievement to Persons Who Are Incarcerated	S	2025-06-03	Accept Majority Ought To Pass Report	1584016	20	13	1	passage	0.65
LD1987	4	An Act to Fund Collective Bargaining Agreements with Executive Branch Employees and Continue the Voluntary Employee Incentive Program	H	2025-06-17	Recede And Concur	1591929	118	30	1	concurrence	0.254
LD1993	4	An Act to Increase the Annual Cap on Funds Assessed for the Safety Education and Training Fund	S	2026-03-05	Accept Majority Ought To Pass As Amended Report	1655938	19	14	1	passage	0.737
LD1993	4	An Act to Increase the Annual Cap on Funds Assessed for the Safety Education and Training Fund	H	2026-03-12	"Acc Otp-am By Ca ""a"""	1661648	74	67	1	passage	0.905
LD2003	4	An Act to Improve Localization of Emergency Broadcast Messaging	S	2026-03-05	Accept Majority Ought To Pass As Amended Report	1655531	21	12	1	passage	0.571
LD2007	4	An Act Regarding the Prohibition of Online Sweepstakes Games	H	2026-03-26	Acc Maj Otp As Amended Rep	1671160	87	55	1	passage	0.632
LD2017	4	An Act to Update Certain Statutes Governing School Nutrition	H	2026-03-05	"Acc Otp-am By Ca ""a"""	1654609	74	68	1	passage	0.919
LD2018	4	An Act to Amend the Requirements Governing Self-insurance Plans in the Paid Family and Medical Leave Benefits Program	H	2026-04-02	"Acc Maj Otp-am By Ca ""a"""	1676308	73	72	1	passage	0.986
LD2018	4	An Act to Amend the Requirements Governing Self-insurance Plans in the Paid Family and Medical Leave Benefits Program	S	2026-04-08	Accept Majority Ought To Pass As Amended Report	1679447	19	15	1	passage	0.789
