bill	type	status	chamber	date	roll	journal	yea	nay	desc	title	disposition
SB0204	B	4	senate	2026-02-27	1648315	322	35	15	Senate - Rules Suspended. Conference Committee Report 1	Various education matters.	candidate: unbatched
SB0204	B	4	senate	2026-01-27	1617764	106	33	12	Senate - Third reading	Various education matters.	candidate: unbatched
SB0239	B	4	house	2026-02-27	1648297	431	65	29	House - Rules Suspended. Conference Committee Report 1	Various education matters.	candidate: unbatched
SB0239	B	4	house	2026-02-24	1642561	350	66	31	House - Third reading	Various education matters.	candidate: unbatched
SB0239	B	4	senate	2026-02-27	1648296	330	31	16	Senate - Rules Suspended. Conference Committee Report 1	Various education matters.	candidate: unbatched
SB0239	B	4	senate	2026-01-28	1618653	121	30	18	Senate - Third reading	Various education matters.	candidate: unbatched
SB0258	B	4	house	2026-02-09	1626087	211	64	28	House - Third reading	Nuclear facility permits.	candidate: unbatched
SB0258	B	4	senate	2026-01-22	1616240	61	36	9	Senate - Third reading	Nuclear facility permits.	candidate: unbatched
SB0270	B	4	house	2026-02-24	1642577	353	61	35	House - Third reading	Township mergers.	needs member-list check: LegiScan tally has no exact match in the official history
SB0270	B	4	senate	2026-02-26	1647209	301	34	15	Senate - Senate concurred with House amendments	Township mergers.	candidate: unbatched
SB0271	B	4	house	2026-02-24	1642587	354	75	22	House - Third reading	Telecommunications wire and valuable metal dealers.	needs member-list check: LegiScan tally has no exact match in the official history
SB0277	B	4	house	2026-02-24	1642560	356	53	45	House - Third reading	Indiana department of environmental management.	candidate: unbatched
SB0277	B	4	senate	2026-02-25	1645191	296	26	21	Senate - Senate concurred with House amendments	Indiana department of environmental management.	candidate: unbatched
SB0277	B	4	senate	2026-01-29	1619043	141	29	19	Senate - Third reading	Indiana department of environmental management.	candidate: unbatched
SB0284	B	4	house	2026-02-24	1642646	358	70	25	House - Third reading	Law enforcement civilian oversight boards.	candidate: unbatched
SB0285	B	4	house	2026-02-24	1642738	359	53	44	House - Third reading	Housing matters.	candidate: unbatched
SB0285	B	4	senate	2026-02-26	1646484	303	28	22	Senate - Senate concurred with House amendments	Housing matters.	candidate: unbatched
SB0285	B	4	senate	2026-01-28	1618615	129	29	19	Senate - Third reading	Housing matters.	candidate: unbatched
