measure	roll	vote_date	stage	kind	legiscan_tally	official_tally	official_motion	is_last_floor_roll	imported	members
HB2	1550940	2025-04-17	(S) 2nd Reading Motion to Amend Failed	unpaired	24-26					legiscan has 16 rolls on this date/chamber, montana has 23
HB2	1550941	2025-04-17	(S) 2nd Reading Motion to Amend Carried	unpaired	27-22					legiscan has 16 rolls on this date/chamber, montana has 23
HB2	1550942	2025-04-17	(S) 2nd Reading Motion to Amend Failed	unpaired	21-28					legiscan has 16 rolls on this date/chamber, montana has 23
HB2	1550943	2025-04-17	(S) 2nd Reading Motion to Amend Failed	unpaired	22-28					legiscan has 16 rolls on this date/chamber, montana has 23
HB2	1550944	2025-04-17	(S) 2nd Reading Motion to Amend Failed	unpaired	24-26					legiscan has 16 rolls on this date/chamber, montana has 23
HB2	1550949	2025-04-17	(S) 2nd Reading Motion to Amend Failed	unpaired	23-26					legiscan has 16 rolls on this date/chamber, montana has 23
HB2	1550951	2025-04-17	(S) 2nd Reading Motion to Amend Failed	unpaired	23-26					legiscan has 16 rolls on this date/chamber, montana has 23
HB2	1551437	2025-04-17	(S) 2nd Reading Motion to Amend Failed	unpaired	27-23					legiscan has 16 rolls on this date/chamber, montana has 23
HB2	1551438	2025-04-17	(S) 2nd Reading Motion to Amend Failed	unpaired	21-29					legiscan has 16 rolls on this date/chamber, montana has 23
HB2	1551439	2025-04-17	(S) 2nd Reading Motion to Amend Carried	unpaired	26-24					legiscan has 16 rolls on this date/chamber, montana has 23
HB2	1551440	2025-04-17	(S) 2nd Reading Motion to Amend Failed	unpaired	24-26					legiscan has 16 rolls on this date/chamber, montana has 23
HB2	1551442	2025-04-17	(S) 2nd Reading Motion to Amend Carried	unpaired	27-23					legiscan has 16 rolls on this date/chamber, montana has 23
HB2	1551443	2025-04-17	(S) 2nd Reading Concurred as Amended	unpaired	27-23					legiscan has 16 rolls on this date/chamber, montana has 23
HB291	1487629	2025-02-12	(H) 2nd Reading Motion to Amend Carried	unpaired	99-1					legiscan has 3 rolls on this date/chamber, montana has 2
HB291	1487630	2025-02-12	(H) 2nd Reading Passed	unpaired	60-40					legiscan has 3 rolls on this date/chamber, montana has 2
HB291	1490769	2025-02-12	(H) 2nd Reading Passed as Amended	unpaired	60-40					legiscan has 3 rolls on this date/chamber, montana has 2
