bill	chamber	roll	vote_date	yea	nay	question_class	batch	title
HJR0818	house	1623535	2026-02-04	70	18	passage		A RESOLUTION to honor and congratulate Katie Vernon on her selection as the 2025-2026 Westhill Elementary School Teacher of the Year.
HJR0819	house	1623195	2026-02-04	70	18	passage		A RESOLUTION to honor and congratulate Amy Harwell on her selection as the 2025-2026 Lewisburg Middle School Teacher of the Year.
HJR0820	house	1623081	2026-02-04	70	18	passage		A RESOLUTION to honor and congratulate Lindsey Bledsoe on her selection as the 2025-2026 Cornersville High School Teacher of the Year.
HJR0821	house	1623332	2026-02-04	70	18	passage		A RESOLUTION to honor and congratulate Herbie Foster on his selection as the 2025-2026 Cornersville High School Teacher of the Year.
HJR0822	house	1623075	2026-02-04	70	18	passage		A RESOLUTION to honor and congratulate Emily Talley on her selection as the 2025-2026 Cornersville Elementary School Teacher of the Year.
HJR0823	house	1623508	2026-02-04	70	18	passage		A RESOLUTION to honor and congratulate Megan Smith on her selection as the 2025-2026 Cornersville Elementary School Teacher of the Year.
HJR0824	house	1622781	2026-02-04	70	18	passage		A RESOLUTION to honor and congratulate Tracy Hall on her selection as the 2025-2026 Forrest School Teacher of the Year.
HJR0825	house	1622770	2026-02-04	70	18	passage		A RESOLUTION to honor and congratulate Mary Hickerson on her selection as the 2025-2026 Forrest School Teacher of the Year.
HJR0826	house	1623312	2026-02-04	70	18	passage		A RESOLUTION to honor and congratulate Josh Harmon on his selection as the 2025-2026 Delk-Henson Intermediate School Teacher of the Year.
HJR0827	house	1623438	2026-02-04	70	18	passage		A RESOLUTION to honor and congratulate Kaitlyn Jones on her selection as the 2025-2026 Delk-Henson Intermediate School Teacher of the Year.
HJR0828	house	1623243	2026-02-04	70	18	passage		A RESOLUTION to honor and congratulate Lori Curtis on her selection as the 2025-2026 Chapel Hill Elementary School Teacher of the Year.
HJR0829	house	1623131	2026-02-04	70	18	passage		A RESOLUTION to honor and congratulate Elaine Jarvis on her selection as the 2025-2026 Longview Elementary School Teacher of the Year.
HJR0830	house	1623377	2026-02-04	70	18	passage		A RESOLUTION to honor and congratulate Amy Raleigh on her selection as the 2025-2026 Chapman's Retreat Elementary School Teacher of the Year.
HJR0831	house	1623232	2026-02-04	70	18	passage		A RESOLUTION to honor and congratulate Deborah McClendon on her selection as the 2025-2026 Bethesda Elementary School Teacher of the Year.
HJR0832	house	1623225	2026-02-04	70	18	passage		A RESOLUTION to honor and congratulate Christy Nichols on her selection as the 2025-2026 Amanda North Elementary School Teacher of the Year.
HJR0833	house	1623559	2026-02-04	70	18	passage		A RESOLUTION to honor and congratulate Sara Hoppe on her selection as the 2025-2026 Allendale Elementary School Teacher of the Year.
HJR0834	house	1623582	2026-02-04	70	18	passage		A RESOLUTION to honor and congratulate Jon Brent King on his selection as the 2025-2026 Spring Station Middle School Teacher of the Year.
HJR0835	house	1623263	2026-02-04	70	18	passage		A RESOLUTION to honor and congratulate Sorrel Dugan on her selection as the 2025-2026 Summit High School Teacher of the Year.
HJR0836	house	1623306	2026-02-04	70	18	passage		"A RESOLUTION to join in the celebration of ""National Vending Day"" in Tennessee on March 5, 2026."
HJR0837	house	1623186	2026-02-04	70	18	passage		A RESOLUTION to recognize Jim Vincent on the occasion of his retirement.
HJR0838	house	1622772	2026-02-04	70	18	passage		A RESOLUTION to honor the memory of Ola Cecil Harris of Dayton.
HJR0839	house	1623578	2026-02-04	70	18	passage		A RESOLUTION to honor Allan Dale Hannah for his fifty years of service to the City of Pikeville Volunteer Fire Department.
HJR0843	house	1623396	2026-02-04	70	18	passage		A RESOLUTION to honor and commend Dr. Rufus R. Clifford, Jr., for his decades of distinguished service to the community and to Rotary International.
HJR0844	house	1623148	2026-02-04	70	18	passage		A RESOLUTION to commend and congratulate Horace Stephens upon his receipt of the Legacy of Service Award from the Alcoa City Schools Foundation.
HJR0846	house	1623067	2026-02-04	70	18	passage		A RESOLUTION to honor the memory of Kenneth Hollis Choate, Jr., of Thompson's Station.
HJR0849	house	1623254	2026-02-04	70	18	passage		A RESOLUTION to honor Eric Swenson upon being named the 2025 TFCA Division 1, Class 2A Coach of the Year and West Tennessee Coach of the Year.
HJR0850	house	1623250	2026-02-04	70	18	passage		A RESOLUTION to honor and congratulate the Huntingdon High School football team, TSSAA Division I, Class 2A state champion.
HJR0851	house	1623428	2026-02-04	70	18	passage		A RESOLUTION to recognize Dr. Gary Arnold Flandro for his foundational role in the development of NASA's Voyager program.
HJR0852	house	1623466	2026-02-04	70	18	passage		A RESOLUTION to honor and congratulate Tasha Hull of Fentress County on her selection as the 2025-2026 Clarkrange High School Teacher of the Year for
HJR0853	house	1623226	2026-02-04	70	18	passage		A RESOLUTION to congratulate Eddie Cook of Fentress County upon his induction into the Tennessee School Boards Association Quarter Century Club.
HJR0854	house	1623346	2026-02-04	70	18	passage		A RESOLUTION to honor and congratulate Pam Conatser of Fentress County on her selection as the 2025-2026 Allardt Elementary School Teacher of the Year
HJR0855	house	1623566	2026-02-04	70	18	passage		A RESOLUTION to honor and congratulate Jamie Andrews of Fentress County on her selection as the 2025-2026 Pine Haven Elementary School Teacher of the
HJR0856	house	1623418	2026-02-04	70	18	passage		A RESOLUTION to honor and congratulate Kendra West of Fentress County on her selection as the 2025-2026 York Elementary School Teacher of the Year for
HJR0857	house	1623594	2026-02-04	70	18	passage		A RESOLUTION to honor and congratulate Amy Thoman on her selection as the 2025-2026 York Elementary School Grades Pre-K-4 Teacher of the Year.
HJR0858	house	1623545	2026-02-04	70	18	passage		A RESOLUTION to honor and congratulate Kellye Stone on her selection as the 2025-2026 Allardt Elementary School Grades 5-8 Teacher of the Year.
HJR0859	house	1623191	2026-02-04	70	18	passage		A RESOLUTION to honor and congratulate Della Sandoval on her selection as the 2025-2026 South Fentress Elementary School Grades Pre-K-4 Teacher of the
HJR0860	house	1623417	2026-02-04	70	18	passage		A RESOLUTION to honor and congratulate Shannon Phillips on her selection as the 2025-2026 South Fentress Elementary School Grades 5-8 Teacher of the Y
HJR0861	house	1623176	2026-02-04	70	18	passage		A RESOLUTION to honor and congratulate Kay McCrary on her selection as the 2025-2026 Pine Haven Elementary School Grades Pre-K-4 Teacher of the Year.
HJR0862	house	1623604	2026-02-04	70	18	passage		A RESOLUTION to honor the memory of Natalie Leach Haslam of Knoxville.
HJR0886	house	1655621	2026-03-05	70	21	passage		A RESOLUTION to confirm the appointment of Tom Marino to the Public Charter School Commission.
HJR1479	house	1688307	2026-04-22	73	20	passage		A RESOLUTION to honor Carnton on the occasion of its 200th anniversary.
HJR7004	house	1695452	2026-05-07	73	21	passage		A RESOLUTION to honor Judge Rex Henry Ogle on the occasion of his retirement from the bench of the Fourth Judicial District.
HJR7005	house	1695366	2026-05-07	73	22	passage		A RESOLUTION to honor the Franklin Theatre on the fifteenth anniversary of its grand reopening.
HJR7007	house	1695379	2026-05-07	73	22	passage		"A RESOLUTION to honor James Kenneth ""J.K."" Harrill for his fifty years of service to the railroad industry in Tennessee."
SB0007	senate	1536236	2025-04-03	23	6	passage		AN ACT to amend Tennessee Code Annotated, Title 4; Title 7; Title 8; Title 13 and Title 66, relative to historic preservation.
SB0007	senate	1552422	2025-04-17	26	7	concurrence		AN ACT to amend Tennessee Code Annotated, Title 4; Title 7; Title 8; Title 13 and Title 66, relative to historic preservation.
SB0019	house	1509489	2025-03-10	73	21	passage		AN ACT to amend Tennessee Code Annotated, Title 8, Chapter 6, relative to investigations by the attorney general and reporter.
SB0030	house	1553287	2025-04-21	70	20	passage		AN ACT to amend Tennessee Code Annotated, Title 39; Title 40; Title 54 and Title 55, relative to criminal offenses.
SB0113	house	1531570	2025-03-31	63	30	passage		AN ACT to amend Tennessee Code Annotated, Title 68, Chapter 221, Part 4, relative to variances for subsurface sewage disposal systems.
SB0128	house	1550716	2025-04-16	65	24	passage		AN ACT to amend Tennessee Code Annotated, Title 4 and Title 63, relative to professions.
SB0134	house	1550647	2025-04-16	58	28	passage		AN ACT to amend Tennessee Code Annotated, Title 4 and Title 49, relative to education.
SB0217	house	1549143	2025-04-15	74	23	passage		AN ACT to amend Tennessee Code Annotated, Title 4; Title 13; Title 39; Title 54; Title 55 and Title 71, relative to the collection, storage, claiming,
SB0218	house	1655106	2026-03-05	65	25	passage	batch-05	AN ACT to amend Tennessee Code Annotated, Title 40, relative to pretrial release for certain offenses.
SB0221	house	1554390	2025-04-22	73	22	passage		AN ACT to amend Tennessee Code Annotated, Title 37 and Title 40, relative to juvenile records.
SB0227	house	1550606	2025-04-16	70	23	passage	batch-04	AN ACT to amend Tennessee Code Annotated, Title 29, Chapter 34, relative to charitable organizations.
SB0229	house	1554707	2025-04-22	73	21	passage		AN ACT to amend Tennessee Code Annotated, Title 2; Title 3 and Title 67, relative to the bureau of ethics and campaign finance.
SB0229	senate	1556906	2025-04-22	23	6	conference_report		AN ACT to amend Tennessee Code Annotated, Title 2; Title 3 and Title 67, relative to the bureau of ethics and campaign finance.
SB0245	house	1548549	2025-04-15	73	21	passage		AN ACT to amend Tennessee Code Annotated, Title 8, Chapter 7, Part 1 and Title 8, Chapter 7, Part 3, relative to district attorneys general.
SB0259	senate	1682930	2026-04-14	24	7	passage		AN ACT to amend Tennessee Code Annotated, Title 33; Title 36; Title 37; Title 49; Title 63 and Title 68, relative to healthcare treatment of minors.
SB0263	house	1551165	2025-04-17	72	25	passage		AN ACT to amend Tennessee Code Annotated, Title 4, Chapter 1, Part 4, relative to state government.
SB0336	house	1657505	2026-03-09	64	24	passage	batch-01	AN ACT to amend Tennessee Code Annotated, Title 2 and Title 40, relative to voting rights.
SB0336	senate	1543982	2025-04-10	24	8	passage	batch-01	AN ACT to amend Tennessee Code Annotated, Title 2 and Title 40, relative to voting rights.
SB0350	house	1657614	2026-03-09	73	21	passage	batch-04	AN ACT to amend Tennessee Code Annotated, Title 66, relative to leases.
SB0376	house	1544284	2025-04-10	73	22	passage	batch-03	AN ACT to amend Tennessee Code Annotated, Title 49, Chapter 7, relative to institutions of higher education.
SB0392	house	1554338	2025-04-22	73	22	passage	batch-04	AN ACT to amend Tennessee Code Annotated, Title 39, relative to criminal offenses.
SB0449	house	1544236	2025-04-10	54	37	passage	batch-02	AN ACT to amend Tennessee Code Annotated, Title 63 and Title 68, relative to reproductive health care.
