bill	chamber	roll	vote_date	yea	nay	question_class	batch	title
SB1880	house	1671466	2026-03-26	68	24	passage		AN ACT to amend Tennessee Code Annotated, Title 4, Chapter 29; Title 4, Chapter 3, Part 20 and Section 38-3-114, relative to the office of homeland se
SB1881	house	1681367	2026-04-13	63	24	passage		AN ACT to amend Tennessee Code Annotated, Title 10, Chapter 7, Part 5, relative to confidentiality of department of safety records.
SB1883	house	1677342	2026-04-07	75	20	passage		AN ACT to amend Tennessee Code Annotated, Title 60; Title 68 and Title 69, relative to contested cases.
SB1890	house	1673377	2026-03-30	72	18	passage		AN ACT to amend Tennessee Code Annotated, Title 49, relative to the history of communism.
SB1891	house	1663904	2026-03-16	75	19	passage		AN ACT to amend Chapter 7 of the Public Acts of the First Extraordinary Session of 2025, relative to the Education Freedom Act of 2025.
SB1915	house	1687306	2026-04-21	73	21	passage	batch-01	AN ACT to amend Tennessee Code Annotated, Title 4, Chapter 1 and Title 4, Chapter 58, relative to public benefits.
SB1915	senate	1688578	2026-04-22	24	6	concurrence	batch-01	AN ACT to amend Tennessee Code Annotated, Title 4, Chapter 1 and Title 4, Chapter 58, relative to public benefits.
SB1964	house	1686826	2026-04-21	68	17	passage		AN ACT to amend Tennessee Code Annotated, Title 68, Chapter 104, relative to fireworks.
SB1968	house	1682983	2026-04-15	66	24	passage		AN ACT to amend Tennessee Code Annotated, Title 37, Chapter 1, Part 1; Title 49, Chapter 1; Title 49, Chapter 2 and Title 49, Chapter 6, relative to a
SB2028	senate	1661451	2026-03-12	24	7	passage		AN ACT to amend Tennessee Code Annotated, Section 39-17-1314; Section 70-1-206 and Section 70-4-107, relative to the authority of the Tennessee fish a
SB2031	house	1675998	2026-04-02	72	19	passage	batch-04	AN ACT to amend Tennessee Code Annotated, Title 29; Title 63 and Title 68, relative to private causes of action.
SB2040	senate	1686179	2026-04-20	24	9	passage	batch-01	AN ACT to amend Tennessee Code Annotated, Title 63, relative to the ownership or control of pharmacies by pharmacy benefits managers.
SB2077	house	1676077	2026-04-02	73	20	passage		AN ACT to amend Tennessee Code Annotated, Section 49-3-113, relative to designees.
SB2087	house	1681764	2026-04-14	57	32	passage		AN ACT to amend Tennessee Code Annotated, Title 49, relative to parental notification of classroom evacuations.
SB2088	house	1681713	2026-04-14	76	21	passage		AN ACT to amend Tennessee Code Annotated, Title 38; Title 40; Title 53; Title 63 and Title 68, relative to psychotropic drugs.
SB2102	house	1685915	2026-04-20	66	23	passage		AN ACT to amend Tennessee Code Annotated, Title 4; Title 5; Title 6; Title 7; Title 8; Title 12; Title 13; Title 54; Title 64; Title 65; Title 68 and
SB2102	house	1689655	2026-04-23	64	22	conference_report		AN ACT to amend Tennessee Code Annotated, Title 4; Title 5; Title 6; Title 7; Title 8; Title 12; Title 13; Title 54; Title 64; Title 65; Title 68 and
SB2102	senate	1686374	2026-04-20	21	11	passage		AN ACT to amend Tennessee Code Annotated, Title 4; Title 5; Title 6; Title 7; Title 8; Title 12; Title 13; Title 54; Title 64; Title 65; Title 68 and
SB2136	house	1686708	2026-04-21	67	20	passage		AN ACT to amend Tennessee Code Annotated, Title 4; Title 4, Chapter 49; Title 8, Chapter 6, Part 4; Title 40, Chapter 2 and Title 47, relative to ille
SB2201	house	1677582	2026-04-07	67	18	passage		AN ACT to amend Tennessee Code Annotated, Title 37; Title 49, Chapter 6, Part 30 and Title 55, Chapter 10, relative to truancy.
SB2201	senate	1673488	2026-03-30	26	7	passage		AN ACT to amend Tennessee Code Annotated, Title 37; Title 49, Chapter 6, Part 30 and Title 55, Chapter 10, relative to truancy.
SB2205	house	1681032	2026-04-13	69	23	passage		AN ACT to amend Tennessee Code Annotated, relative to transportation infrastructure projects.
SB2206	house	1673212	2026-03-30	75	19	passage		AN ACT to amend Tennessee Code Annotated, Title 4; Title 9 and Title 49, relative to the federal tax credit for contributions made to certain scholars
SB2222	house	1671320	2026-03-26	71	20	passage	batch-02	AN ACT to amend Tennessee Code Annotated, Title 29; Title 38 and Title 50, relative to liability for actions of demonstrators.
SB2318	house	1687197	2026-04-21	65	18	passage		AN ACT to amend Tennessee Code Annotated, Title 49, relative to charter schools.
SB2324	house	1673352	2026-03-30	75	19	passage		AN ACT to amend Tennessee Code Annotated, Title 36 and Title 37, relative to children.
SB2348	house	1681950	2026-04-14	70	24	passage	batch-01	AN ACT to amend Tennessee Code Annotated, Title 10 and Title 49, relative to librarians.
SB2364	house	1666252	2026-03-19	70	18	passage		AN ACT to amend Tennessee Code Annotated, Title 4, Chapter 21, relative to the attorney general and reporter.
SB2403	house	1686752	2026-04-21	54	31	passage		AN ACT to amend Tennessee Code Annotated, Title 4, Chapter 29 and Title 49, relative to education.
SB2403	house	1689505	2026-04-23	68	18	conference_report		AN ACT to amend Tennessee Code Annotated, Title 4, Chapter 29 and Title 49, relative to education.
SB2412	house	1684544	2026-04-16	74	20	passage	batch-02	AN ACT to amend Tennessee Code Annotated, Title 4, Chapter 18; Title 29, Chapter 39 and Title 63, Chapter 6, Part 11, relative to civil actions.
SB2441	house	1681381	2026-04-13	69	21	passage		AN ACT to amend Tennessee Code Annotated, Title 49, relative to virtual schools.
SB2459	house	1683417	2026-04-15	72	23	passage	batch-04	AN ACT to amend Tennessee Code Annotated, Title 37, relative to the department of children's services.
SB2473	house	1685997	2026-04-20	70	22	passage		AN ACT to amend Tennessee Code Annotated, Title 4; Title 7 and Title 42, relative to airport authorities.
SB2473	house	1689485	2026-04-23	73	21	passage		AN ACT to amend Tennessee Code Annotated, Title 4; Title 7 and Title 42, relative to airport authorities.
SB2473	senate	1681442	2026-04-13	25	8	passage		AN ACT to amend Tennessee Code Annotated, Title 4; Title 7 and Title 42, relative to airport authorities.
SB2641	house	1688364	2026-04-22	67	24	passage		AN ACT to amend Tennessee Code Annotated, Title 9, Chapter 4, relative to investments.
SB6002	house	1477617	2025-01-30	72	21	passage	batch-02	AN ACT to amend Tennessee Code Annotated, Title 2; Title 4; Title 5; Title 6; Title 7; Title 8 and Title 55, relative to non-United States citizens.
SB6002	senate	1476571	2025-01-29	26	7	passage	batch-02	AN ACT to amend Tennessee Code Annotated, Title 2; Title 4; Title 5; Title 6; Title 7; Title 8 and Title 55, relative to non-United States citizens.
SJR0006	house	1489227	2025-02-13	71	18	concurrence		A RESOLUTION to honor and commend the October 7th Coalition and Patricia Heaton.
SJR0539	house	1623161	2026-02-04	70	18	passage		A RESOLUTION to honor the memory of Charlie Kirk.
