session	bill	chamber	printed_roll	roll_call_id	date	yea	nay	passed	status	governor	disposition	reason	desc	title
2214	HB0259	S		1655887	2026-03-05	22	6	1	4	signed	deferred:operator-direction	parents' access to a child's medical records	Senate/ passed 2nd & 3rd readings/ suspension	Parental Access to Children's Medical Records Amendments
2214	HB0260	H		1625587	2026-02-06	62	4	1	4	signed	screened	not-divided	House/ passed 3rd reading	Unauthorized Practice of Law Amendments
2214	HB0260	H		1656744	2026-03-06	71	1	1	4	signed	screened	not-divided	House/ concurs with Senate amendment	Unauthorized Practice of Law Amendments
2214	HB0260	S		1656557	2026-03-06	25	2	1	4	signed	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	Unauthorized Practice of Law Amendments
2214	HB0261	H		1638810	2026-02-19	71	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Electronic Information Privacy Act Amendments
2214	HB0261	S		1656038	2026-03-06	22	5	1	4	signed	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	Electronic Information Privacy Act Amendments
2214	HB0263	H		1635446	2026-02-17	33	37	0	6	none	screened	not-the-chambers-final-roll	House/ failed	Heavy Duty Vehicle Amendments
2214	HB0263	H		1637005	2026-02-18	40	25	1	6	none	screened	not-enacted-status-6	House/ passed 3rd reading	Heavy Duty Vehicle Amendments
2214	HB0264	H		1625792	2026-02-06	69	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Prescription Medication Amendments
2214	HB0264	H		1640125	2026-02-20	72	0	1	4	signed	screened	not-divided	House/ concurs with Senate amendment	Prescription Medication Amendments
2214	HB0264	S		1638488	2026-02-19	25	0	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Prescription Medication Amendments
2214	HB0265	H		1629061	2026-02-10	72	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Non-nicotine Inhalation Product Amendments
2214	HB0265	H		1656236	2026-03-06	64	1	1	4	signed	screened	not-divided	House/ concurs with Senate amendment	Non-nicotine Inhalation Product Amendments
2214	HB0265	S		1656235	2026-03-06	27	0	1	4	signed	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	Non-nicotine Inhalation Product Amendments
2214	HB0268	H		1628191	2026-02-10	70	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Towing Notice and Ownership Rights Modifications
2214	HB0268	S		1639838	2026-02-20	24	0	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Towing Notice and Ownership Rights Modifications
2214	HB0269	H		1633154	2026-02-13	67	1	1	4	signed	screened	not-divided	House/ passed 3rd reading	Ambulance Provider Payment Amendments
2214	HB0269	H		1655848	2026-03-05	66	1	1	4	signed	screened	not-divided	House/ concurs with Senate amendment	Ambulance Provider Payment Amendments
2214	HB0269	S		1655847	2026-03-05	26	0	1	4	signed	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	Ambulance Provider Payment Amendments
2214	HB0270	H		1635197	2026-02-17	71	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Healthcare Worker Post-Employment Amendments
2214	HB0270	H		1655640	2026-03-05	66	1	1	4	signed	screened	not-divided	House/ concurs with Senate amendment	Healthcare Worker Post-Employment Amendments
2214	HB0270	S		1654810	2026-03-05	19	1	1	4	signed	held	tally-mismatch: LegiScan 19-1, sheet 18-2 (Weiler wrong side)	Senate/ passed 2nd & 3rd readings/ suspension	Healthcare Worker Post-Employment Amendments
2214	HB0271	H		1632505	2026-02-12	63	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Multi-Agency Joint Strike Force Modifications
2214	HB0271	S		1643984	2026-02-25	26	0	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Multi-Agency Joint Strike Force Modifications
2214	HB0272	H		1624997	2026-02-05	71	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Tourism Taxes Amendments
2214	HB0272	S		1638439	2026-02-19	26	0	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Tourism Taxes Amendments
2214	HB0273	H		1637315	2026-02-18	68	1	1	4	signed	screened	not-divided	House/ passed 3rd reading	Classroom Technology Amendments
2214	HB0273	H		1654846	2026-03-05	62	6	1	4	signed	screened	not-divided	House/ concurs with Senate amendment	Classroom Technology Amendments
2214	HB0273	S		1652981	2026-03-04	17	9	1	4	signed	batch-09	imported 2026-09-10, run 16:43:17.988Z	Senate/ passed 2nd & 3rd readings/ suspension	Classroom Technology Amendments
2214	HB0274	H		1625837	2026-02-06	69	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Sentencing Amendments
2214	HB0274	H		1643129	2026-02-24	69	0	1	4	signed	screened	not-divided	House/ concurs with Senate amendment	Sentencing Amendments
2214	HB0274	S		1640683	2026-02-23	23	3	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Sentencing Amendments
2214	HB0276	H		1640101	2026-02-20	66	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Artificial Intelligence Modifications
2214	HB0276	H		1654618	2026-03-05	66	0	1	4	signed	screened	not-divided	House/ concurs with Senate amendment	Artificial Intelligence Modifications
2214	HB0276	S		1653847	2026-03-04	23	3	1	4	signed	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	Artificial Intelligence Modifications
2214	HB0277	H		1637078	2026-02-18	51	18	1	6	none	screened	not-enacted-status-6	House/ passed 3rd reading	Traditional Healing Amendments
2214	HB0279	H		1624928	2026-02-05	71	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Higher Education Code Amendments
2214	HB0279	H		1640491	2026-02-20	72	0	1	4	signed	screened	not-divided	House/ concurs with Senate amendment	Higher Education Code Amendments
2214	HB0279	S		1638457	2026-02-19	26	0	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Higher Education Code Amendments
2214	HB0280	H		1643245	2026-02-24	67	1	1	4	signed	screened	not-divided	House/ passed 3rd reading	Third Party Litigation Funding Amendments
2214	HB0280	S		1653944	2026-03-04	25	0	1	4	signed	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	Third Party Litigation Funding Amendments
2214	HB0284	H		1638713	2026-02-19	57	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Murder Offense Amendments
2214	HB0284	S		1650724	2026-03-03	27	1	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Murder Offense Amendments
2214	HB0288	H		1626192	2026-02-09	39	32	1	6	none	screened	not-enacted-status-6	House/ passed 3rd reading	Voting Registration Amendments
2214	HB0289	H		1635664	2026-02-17	71	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Child Sexual Abuse Material Amendments
2214	HB0289	S		1656575	2026-03-06	25	0	1	4	signed	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	Child Sexual Abuse Material Amendments
2214	HB0290	H		1636866	2026-02-18	69	1	1	4	signed	screened	not-divided	House/ passed 3rd reading	Child Tax Credit Amendments
2214	HB0290	S		1652896	2026-03-04	26	1	1	4	signed	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	Child Tax Credit Amendments
2214	HB0291	H		1625851	2026-02-06	64	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Security and Land Restriction Amendments
2214	HB0291	S		1639768	2026-02-20	23	0	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Security and Land Restriction Amendments
2214	HB0293	H		1628520	2026-02-10	57	8	1	4	signed	screened	not-divided	House/ passed 3rd reading	Public Education Student Athlete Protections
2214	HB0293	H		1648565	2026-03-02	57	7	1	4	signed	screened	not-divided	House/ concurs with Senate amendment	Public Education Student Athlete Protections
2214	HB0293	S		1647921	2026-02-27	17	10	1	4	signed	deferred:operator-direction	schools may not join an athletics association lacking certain eligibility policies	Senate/ passed 3rd reading	Public Education Student Athlete Protections
2214	HB0294	H		1643354	2026-02-24	55	14	1	6	none	screened	not-enacted-status-6	House/ passed 3rd reading	Employer Verification Amendments
2214	HB0295	H		1647435	2026-02-26	59	2	1	6	none	screened	not-divided	House/ passed 3rd reading	Overdose Amendments
2214	HB0296	H		1625738	2026-02-06	48	19	1	4	signed	batch-06	imported 2026-09-10, run 06:48:26.930Z	House/ passed 3rd reading	Water Commitment Amendments
2214	HB0296	S		1639880	2026-02-20	25	2	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Water Commitment Amendments
